Brand,Name,Price,Image,Link
Infinix,"Infinix Hot 20i - 6,6"" HD+ IPS - 4GO - 128GO + Anticasse - Black - Garantie 1 an",468.9,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/3307/1.jpg?5808,https://www.jumia.com.tn/smartphones/infinix-hot-20i-66-hd-ips-4go-128go-anticasse-black-garantie-1-an-703387.html
Infinix,"Infinix Smart 7 - 6,6"" - 4GB (Up to 7GB) - 64 GB - Polar Black - Garantie 1 an",419.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/1617/1.jpg?8848,https://www.jumia.com.tn/smartphones/infinix-smart-7-66-4gb-up-to-7gb-64-gb-polar-black-garantie-1-an-716187.html
Infinix,"Infinix SMART 6 PLUS - 6,82"" - 4G/DS - 2/64 GB - X6823 - Crystal Violet",399.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/0617/1.jpg?9067,https://www.jumia.com.tn/smartphones/infinix-smart-6-plus-682-4gds-264-gb-x6823-crystal-violet-716094.html
Evertek,"Evertek M20 Nano - 4"" - 1G - 8G - Tifanny Blue - Garantie 1 An",169.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/1727/1.jpg?4089,https://www.jumia.com.tn/smartphones/evertek-m20-nano-4-1g-8g-tifanny-blue-garantie-1-an-727142.html
Evertek,"Evertek M20 Nano - 4"" - 1G - 8G - Noir - Garantie 1 An",169.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/1727/1.jpg?4089,https://www.jumia.com.tn/smartphones/evertek-m20-nano-4-1g-8g-noir-garantie-1-an-727143.html
Infinix,"Infinix Hot 20S - 6.78"" - 120Hz - 50Mp- 13Go Ram -128 Go et Pochette+ Anticasse- Blanc Garantie 1An",685.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/3307/1.jpg?5807,https://www.jumia.com.tn/smartphones/infinix-hot-20s-6.78-120hz-50mp-13go-ram-128-go-et-pochette-anticasse-blanc-garantie-1an-703389.html
Infinix,"Infinix SMART 6 HD - 6.6"" - 4G/DS - 2/32 GB - X6512 - AQUA SKY",369.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/0617/1.jpg?9966,https://www.jumia.com.tn/smartphones/infinix-smart-6-hd-6.6-4gds-232-gb-x6512-aqua-sky-716097.html
XIAOMI,XIAOMI Redmi A1+ - 2 Go - 32  Go - Noir,335.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/1107/1.jpg?1969,https://www.jumia.com.tn/smartphones/xiaomi-redmi-a1-2-go-32-go-noir-701180.html
Itel,Itel A18 - 3G - DS - 1Gb- 32G Et Pochette + Anticasse - Blue - Garantie 1an,189.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/6207/1.jpg?5806,https://www.jumia.com.tn/smartphones/itel-a18-3g-ds-1gb-32g-et-pochette-anticasse-blue-garantie-1an-702658.html
XIAOMI,XIAOMI SMARTPHONE REDMI NOTE 12 - 4GO - 128GO -GRIS -Garantie 1 an,754.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/6837/1.jpg?1468,https://www.jumia.com.tn/smartphones/xiaomi-smartphone-redmi-note-12-4go-128go-gris-garantie-1-an-738678.html
